REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R029,PARK PLACE                    ,115075,5510,402,1454,760,34069,68049,0,0,0,1392,2115,1033,1212,9983,4400,2350,0,2043,0,0,0,6176,0,5477,0,                                                                                                    
R030,CHAMBERS STREET               ,46401,2980,255,537,403,16784,29888,0,0,0,226,848,454,736,4037,2096,898,0,555,0,0,0,8658,0,4647,0,                                                                                                    
R031,34TH STREET & 7TH AVENUE      ,112472,5217,383,921,1858,24614,38290,0,0,0,195,1455,1057,3025,5030,5543,1207,0,1262,0,0,0,2267,0,266,0,                                                                                                    
R032,42ND STREET/TIMES SQUARE      ,93429,4737,428,1253,207,32532,73091,0,0,0,335,2103,567,117,8793,3958,2194,0,1348,0,0,0,1210,0,128,0,                                                                                                    
R033,42ND STREET/TIMES SQUARE      ,138970,7969,738,1469,543,53586,69209,0,0,0,1279,2257,1877,422,11009,4724,2125,0,2695,0,0,0,4214,0,445,0,                                                                                                    
R034,125TH STREET & BROADWAY       ,15338,1599,123,351,25,9107,12891,0,0,0,31,119,441,26,1228,491,341,0,245,0,0,0,1554,0,76,0,                                                                                                    
R035,168TH STREET & BROADWAY       ,42129,3119,350,667,53,23565,36572,0,0,0,93,410,989,103,3349,1150,1190,0,567,0,0,0,4658,0,218,0,                                                                                                    
R036,DYCKMAN STREET                ,11896,1367,188,307,6,11886,8732,0,0,0,11,64,756,3,902,95,125,0,85,0,0,0,2605,0,196,0,                                                                                                    
R037,207TH STREET                  ,7639,754,191,232,2,12060,7034,0,0,0,8,30,403,5,775,38,72,0,57,0,0,0,1691,0,193,0,                                                                                                    
R038,215TH STREET                  ,3075,415,38,129,5,2011,2933,0,0,0,10,56,151,4,315,70,102,0,30,0,0,0,437,0,70,0,                                                                                                    
R039,225TH STREET                  ,9887,696,108,158,52,8030,5473,0,0,0,15,28,248,27,570,152,146,0,85,0,0,0,1828,0,154,0,                                                                                                    
R040,231ST STREET                  ,15731,1656,281,647,1,13537,12673,0,0,0,58,127,714,9,1631,319,175,0,88,0,0,0,2079,0,214,0,                                                                                                    
R041,BOWLING GREEN & BATTERY PL    ,42312,2613,271,700,434,15741,31096,0,0,0,1655,827,468,735,5215,1883,883,0,557,0,0,0,3367,0,167,0,                                                                                                    
R042,BOWLING GREEN & BROADWAY      ,5986,277,35,80,30,3761,3467,0,0,0,170,73,49,102,520,255,88,0,179,0,0,0,287,0,69,0,                                                                                                    
