UNIT,STATION,REMOTE, STATION,Station ID
R185,DYCKMAN ST,R185,DYCKMAN STREET-BROADWAY       ,299
R274,191 ST,R274,191ST STREET-ST NICHOLAS AV   ,300
R260,181 ST,R260,181ST STREET-ST NICHOLAS AV   ,301
R193,157 ST,R193,157TH STREET-BROADWAY         ,303
R273,145 ST,R273,145TH STREET-BROADWAY         ,304
R169,137 ST CITY COL,R169,137TH STREET-BROADWAY         ,305
R034,125 ST,R034,125TH STREET & BROADWAY       ,306
R159,116 ST-COLUMBIA,R159,116TH STREET-COLUMBIA         ,307
R192,CATHEDRAL PKWY,R192,110TH STREET-BROADWAY         ,308
R191,103 ST,R191,103RD STREET-BROADWAY         ,309
R168,96 ST,R168,96TH STREET-BROADWAY          ,310
R167,86 ST,R167,86TH STREET-BROADWAY          ,311
R166,79 ST,R166,79TH STREET-BROADWAY          ,312
R452,72 ST,R452,72ND STREET & BROADWAY        ,313
R164,66 ST-LINCOLN,R164,66TH STREET-BROADWAY          ,314
R116,50 ST,R116,50TH STREET & 7TH AVENUE      ,316
R031,34 ST-PENN STA,R031,34TH STREET & 7TH AVENUE      ,318
R272,28 ST,R272,28TH STREET-7TH AVENUE        ,319
R190,23 ST,R190,23RD STREET-7TH AVENUE        ,320
R321,18 ST,R321,18TH STREET-7TH AVENUE        ,321
R105,14 ST,R105,14TH STREET & 7TH AVENUE      ,322
R290,HOUSTON ST,R290,HOUSTON STREET-VARICK ST      ,324
R320,CANAL ST,R320,CANAL STREET-VARICK STREET    ,325
R343,FRANKLIN ST,R343,FRANKLIN STREET-WEST BWAY     ,326
R030,CHAMBERS ST,R030,CHAMBERS STREET               ,327
R305,WTC-CORTLANDT,R305,WTC-CORTLANDT ST              ,328
R304,RECTOR ST,R304,RECTOR STREET-GREENWICH ST    ,329
R001,SOUTH FERRY,R001,WHITEHALL STREET              ,330
R029,PARK PLACE,R029,PARK PLACE                    ,331
R028,FULTON ST,R028,FULTON & WILLIAM STREETS      ,332
R027,WALL ST,R027,WALL STREET                   ,333
R043,WALL ST,R043,WALL STREET                   ,333
R224,CLARK ST,R224,CLARK STREET-HENRY STREET     ,334
R108,BOROUGH HALL,R108,BOROUGH HALL - COURT STREET   ,335
R456,HOYT ST,R456,HOYT STREET-FULTON STREET     ,336
R225,HOYT ST,R225,HOYT STREET-HOYT STREET       ,336
R056,NEVINS ST,R056,NEVINS STREET                 ,337
R058,BERGEN ST,R058,BERGEN STREET                 ,339
R059,GRAND ARMY PLAZ,R059,GRAND ARMY PLAZA              ,340
R060,EASTN PKWY-MUSM,R060,EASTERN PARKWAY               ,341
R123,FRANKLIN AV,R123,FRANKLIN AVE/EASTERN PKWY     ,342
R061,NOSTRAND AV,R061,NOSTRAND AVENUE               ,343
R124,KINGSTON AV,R124,KINGSTON AVE/EASTERN PKWY     ,344
R062,CROWN HTS-UTICA,R062,UTICA AVENUE                  ,345
R063,SUTTER AV-RUTLD,R063,SUTTER AVENUE                 ,346
R064,SARATOGA AV,R064,SARATOGA AVENUE               ,347
R439,ROCKAWAY AV,R439,ROCKAWAY AVE-HOPKINSON AVE    ,348
R066,JUNIUS ST,R066,JUNIUS STREET                 ,349
R067,PENNSYLVANIA AV,R067,PENNSYLVANIA AVENUE           ,350
R068,VAN SICLEN AV,R068,VAN SICLEN AVENUE             ,351
R069,NEW LOTS AV,R069,NEW LOTS AVENUE               ,352
R277,PRESIDENT ST,R277,PRESIDENT ST-NOSTRAND AVE     ,353
R209,STERLING ST,R209,STERLING ST-NOSTRAND AVE      ,354
R451,WINTHROP ST,R451,WINTHROP ST-NOSTRAND AVE      ,355
R109,CHURCH AV,R109,CHURCH AVENUE & NOSTRAND AV   ,356
R210,BEVERLY RD,R210,BEVERLY RD-NOSTRAND AVE       ,357
R135,NEWKIRK AV,R135,NEWKIRK AVE-NOSTRAND AVE      ,358
R110,FLATBUSH AV-B.C,R110,FLATBUSH AVE & NOSTRAND AV    ,359
R429,PELHAM BAY PARK,R429,PELHAM BAY PARK-BRUCKNER BL   ,360
R428,BUHRE AV,R428,BUHRE AVE-WESTCHESTER AVE     ,361
R427,MIDDLETOWN RD,R427,MIDDLETOWN ROAD-WESTCHESTER   ,362
R107,WESTCHESTER SQ,R107,WESTCHESTER SQUARE            ,363
R326,ZEREGA AV,R326,ZEREGA AVE-WESTCHESTER AVE    ,364
R106,CASTLE HILL AV,R106,CASTLE HILL AVENUE            ,365
R222,PARKCHESTER,R222,177TH STREET-PARKCHESTER      ,366
R245,ST LAWRENCE AV,R245,ST LAWRENCE AVE-WEST AVE      ,367
R120,MORISN AV/SNDVW,R120,MORRISON AVE & WESTCHESTER    ,368
R162,ELDER AV,R162,ELDER AVE-WESTCHESTER AVE     ,369
R325,WHITLOCK AV,R325,WHITLOCK AVE-WESTCHESTER AV   ,370
